year,scale,age,m,w,all
2023,1,18-24,0,3,3
2023,2,18-24,3,4,8
2023,3,18-24,4,0,4
2023,4,18-24,0,3,3
2023,5,18-24,3,10,13
2023,6,18-24,1,4,5
2023,7,18-24,3,0,3
2023,8,18-24,1,4,5
2023,9,18-24,0,0,0
2023,10,18-24,0,1,1
2023,NR,18-24,0,0,0
2023,DK,18-24,0,0,0
2023,1,25-34,0,1,1
2023,2,25-34,8,3,11
2023,3,25-34,4,4,8
2023,4,25-34,2,1,3
2023,5,25-34,3,3,6
2023,6,25-34,2,3,5
2023,7,25-34,1,1,2
2023,8,25-34,0,0,0
2023,9,25-34,1,0,1
2023,10,25-34,1,1,2
2023,NR,25-34,0,0,0
2023,DK,25-34,2,0,2
2022,1,18-24,1,0,1
2022,2,18-24,0,0,0
2022,3,18-24,1,3,5
2022,4,18-24,3,0,3
2022,5,18-24,1,0,1
2022,6,18-24,3,2,5
2022,7,18-24,1,2,3
2022,8,18-24,0,2,2
2022,9,18-24,0,2,2
2022,10,18-24,0,0,0
2022,NR,18-24,2,0,2
2022,DK,18-24,0,0,0
2022,1,25-34,1,3,4
2022,2,25-34,2,1,3
2022,3,25-34,3,3,6
2022,4,25-34,4,5,8
2022,5,25-34,3,3,7
2022,6,25-34,5,1,6
2022,7,25-34,4,0,4
2022,8,25-34,1,0,1
2022,9,25-34,1,1,2
2022,10,25-34,3,1,4
2022,NR,25-34,0,0,0
2022,DK,25-34,0,0,0
2021,1,18-24,2,0,2
2021,2,18-24,0,0,0
2021,3,18-24,1,3,4
2021,4,18-24,3,2,5
2021,5,18-24,2,3,5
2021,6,18-24,1,0,1
2021,7,18-24,0,0,0
2021,8,18-24,1,1,2
2021,9,18-24,0,0,0
2021,10,18-24,0,0,0
2021,NR,18-24,1,0,1
2021,DK,18-24,0,0,0
2021,1,25-34,1,3,4
2021,2,25-34,0,1,1
2021,3,25-34,6,4,10
2021,4,25-34,3,1,4
2021,5,25-34,1,0,1
2021,6,25-34,5,1,6
2021,7,25-34,4,4,8
2021,8,25-34,1,1,2
2021,9,25-34,0,0,0
2021,10,25-34,0,1,1
2021,NR,25-34,0,0,0
2021,DK,25-34,1,0,1
2020,1,18-24,0,3,3
2020,2,18-24,1,1,1
2020,3,18-24,5,1,6
2020,4,18-24,2,0,2
2020,5,18-24,9,1,11
2020,6,18-24,1,1,2
2020,7,18-24,4,0,4
2020,8,18-24,1,1,2
2020,9,18-24,0,0,0
2020,10,18-24,1,0,1
2020,NR,18-24,0,1,1
2020,DK,18-24,1,0,1
2020,1,25-34,2,0,2
2020,2,25-34,2,1,3
2020,3,25-34,4,3,7
2020,4,25-34,3,5,7
2020,5,25-34,4,5,9
2020,6,25-34,1,4,5
2020,7,25-34,3,0,3
2020,8,25-34,1,0,1
2020,9,25-34,1,0,1
2020,10,25-34,0,0,0
2020,NR,25-34,0,1,1
2020,DK,25-34,0,0,0
2019,1,18-24,1,2,3
2019,2,18-24,3,3,6
2019,3,18-24,4,8,11
2019,4,18-24,1,4,6
2019,5,18-24,6,2,9
2019,6,18-24,3,2,5
2019,7,18-24,0,3,3
2019,8,18-24,0,0,0
2019,9,18-24,3,1,4
2019,10,18-24,0,0,0
2019,NR,18-24,5,4,10
2019,DK,18-24,1,1,2
2019,1,25-34,1,1,3
2019,2,25-34,5,0,5
2019,3,25-34,5,8,13
2019,4,25-34,6,3,10
2019,5,25-34,5,7,11
2019,6,25-34,3,3,5
2019,7,25-34,8,2,10
2019,8,25-34,2,0,2
2019,9,25-34,0,2,2
2019,10,25-34,0,0,0
2019,NR,25-34,2,3,5
2019,DK,25-34,1,2,3
2018,1,18-24,1,2,3
2018,2,18-24,2,2,4
2018,3,18-24,2,1,3
2018,4,18-24,3,4,7
2018,5,18-24,4,3,7
2018,6,18-24,1,3,4
2018,7,18-24,4,0,4
2018,8,18-24,1,0,1
2018,9,18-24,0,0,0
2018,10,18-24,0,0,0
2018,NR,18-24,1,2,3
2018,DK,18-24,1,1,2
2018,1,25-34,2,1,3
