year,scale,m,w,all
2023,1,"9,40","14,00","11,80"
2023,2,"6,00","5,40","5,70"
2023,3,"12,80","11,00","11,90"
2023,4,"11,00","7,20","9,00"
2023,5,"24,60","25,10","24,80"
2023,6,"9,20","6,90","8,00"
2023,7,"8,40","6,70","7,60"
2023,8,"5,60","6,00","5,80"
2023,9,"1,70","1,90","1,80"
2023,10,"7,10","7,70","7,40"
2023,NR,"0,70","3,20","2,00"
2023,DK,"3,40","4,90","4,20"
2022,1,"9,00","12,00","10,50"
2022,2,"5,20","5,80","5,50"
2022,3,"15,60","12,20","13,80"
2022,4,"11,40","10,40","10,80"
2022,5,"23,00","24,10","23,60"
2022,6,"9,40","6,30","7,80"
2022,7,"9,40","8,70","9,00"
2022,8,"6,10","6,50","6,30"
2022,9,"1,20","1,30","1,30"
2022,10,"5,60","5,90","5,70"
2022,NR,"1,20","2,50","1,80"
2022,DK,"3,10","4,40","3,80"
2021,1,"7,70","9,20","8,40"
2021,2,"5,90","6,20","6,10"
2021,3,"15,70","13,00","14,30"
2021,4,"12,10","10,40","11,20"
2021,5,"25,30","25,90","25,60"
2021,6,"11,70","8,90","10,30"
2021,7,"7,10","7,30","7,20"
2021,8,"5,40","5,60","5,50"
2021,9,"1,10","1,50","1,30"
2021,10,"2,80","4,30","3,60"
2021,NR,"1,80","3,70","2,80"
2021,DK,"3,50","4,00","3,70"
2020,1,"6,70","9,10","8,00"
2020,2,"4,30","4,40","4,30"
2020,3,"14,10","11,40","12,70"
2020,4,"12,80","11,90","12,30"
2020,5,"27,30","27,60","27,40"
2020,6,"11,20","7,70","9,40"
2020,7,"7,20","6,50","6,80"
2020,8,"3,90","4,00","4,00"
2020,9,"1,00","1,00","1,00"
2020,10,"3,20","3,00","3,10"
2020,NR,"4,20","7,90","6,10"
2020,DK,"4,10","5,50","4,80"
2019,1,"5,30","3,80","4,50"
2019,2,"6,70","4,50","5,60"
2019,3,"16,90","14,40","15,70"
2019,4,"14,70","14,00","14,30"
2019,5,"17,90","19,80","18,90"
2019,6,"9,30","9,90","9,60"
2019,7,"6,30","6,00","6,10"
2019,8,"5,70","5,90","5,80"
2019,9,"2,40","1,90","2,10"
2019,10,"1,40","1,10","1,20"
2019,NR,"7,30","11,60","9,60"
2019,DK,"6,10","6,90","6,60"
2018,1,"4,80","3,80","4,30"
2018,2,"5,10","5,10","5,10"
2018,3,"14,80","14,60","14,70"
2018,4,"14,20","13,00","13,60"
2018,5,"21,50","21,40","21,40"
2018,6,"9,80","9,50","9,60"
2018,7,"7,90","6,30","7,10"
2018,8,"5,50","5,40","5,40"
2018,9,"1,30","1,70","1,50"
2018,10,"1,10","1,10","1,10"
2018,NR,"9,00","12,80","11,00"
2018,DK,"5,00","5,60","5,30"
2017,1,"3,50","3,80","3,60"
2017,2,"4,40","4,20","4,30"
2017,3,"15,80","13,80","14,80"
2017,4,"12,90","11,00","11,90"
2017,5,"21,50","23,00","22,30"
2017,6,"9,30","7,90","8,60"
2017,7,"6,90","6,30","6,60"
2017,8,"3,80","3,60","3,70"
2017,9,"1,50","1,20","1,30"
2017,10,"1,00","0,80","0,90"
2017,NR,"8,80","13,50","11,20"
2017,DK,"10,50","11,00","10,70"
2016,1,"4,40","3,90","4,20"
2016,2,"4,40","5,10","4,80"
2016,3,"14,80","13,80","14,30"
2016,4,"14,00","12,00","13,00"
2016,5,"21,40","21,00","21,20"
2016,6,"7,50","7,60","7,50"
2016,7,"6,50","6,10","6,30"
2016,8,"5,40","4,00","4,70"
2016,9,"1,80","1,00","1,40"
2016,10,"1,10","0,80","0,90"
2016,NR,"8,20","10,90","9,60"
2016,DK,"10,50","13,70","12,10"
