country,gross,net,coin,city,rental_one_bedroom,pe
United Kingdom,40518,32733,"1,1589",London,1800,"0,65988"
France,30833,24144,1,Paris,1880,"0,93439"
Spain,21638,17559,1,Madrid,1350,"0,92260"
Germany,43842,28128,1,Berlin,1600,"0,68259"
Italy,25000,20000,1,Rome,1950,"1,17000"
Poland,15162,11214,"0,2216",Warsaw,730,"0,78117"
Netherlands,44000,35092,1,Amsterdam,2300,"0,78650"
Sweden,36250,25628,"0,088329",Stockholm,1325,"0,62042"
Belgium,42084,33796,1,Brussels,1200,"0,42609"
Norway,49656,32957,"0,086787",Oslo,1300,"0,47334"
Ireland,45537,36513,1,Dublin,1650,"0,54227"
Austria,30635,20381,1,Vienna,1200,"0,70654"
Danmark,37411,25253,"0,13409",Copenhagen,1200,"0,57023"
Romania,19618,11477,"0,20109",Bucharest,400,"0,41823"
Finland,38736,23895,1,Helsinki,1340,"0,67294"
Czech Republic,16970,13706,"0,040705",Prague,950,"0,83175"
Portugal,11512,10236,1,Lisbon,1300,"1,52403"
