region;dificultad;periodo;valor
España;No consta;2023;0,3
España;Con mucha facilidad;2023;3,2
España;Con mucha dificultad;2023;9,3
España;Con facilidad;2023;19,4
España;Con dificultad;2023;13,1
España;Con cierta facilidad;2023;28,5
España;Con cierta dificultad;2023;26,1
Andalucía;No consta;2023;0,5
Andalucía;Con mucha facilidad;2023;1,9
Andalucía;Con mucha dificultad;2023;13,6
Andalucía;Con facilidad;2023;15,6
Andalucía;Con dificultad;2023;16
Andalucía;Con cierta facilidad;2023;25,2
Andalucía;Con cierta dificultad;2023;27,3
Aragón;No consta;2023;0,4
Aragón;Con mucha facilidad;2023;4,9
Aragón;Con mucha dificultad;2023;9,6
Aragón;Con facilidad;2023;21,9
Aragón;Con dificultad;2023;9,1
Aragón;Con cierta facilidad;2023;29,3
Aragón;Con cierta dificultad;2023;24,8
Asturias;No consta;2023;0
Asturias;Con mucha facilidad;2023;5,3
Asturias;Con mucha dificultad;2023;5,6
Asturias;Con facilidad;2023;21,8
Asturias;Con dificultad;2023;9,4
Asturias;Con cierta facilidad;2023;35,7
Asturias;Con cierta dificultad;2023;22,2
Baleares;No consta;2023;0,4
Baleares;Con mucha facilidad;2023;2,7
Baleares;Con mucha dificultad;2023;5,2
Baleares;Con facilidad;2023;20,3
Baleares;Con dificultad;2023;8,5
Baleares;Con cierta facilidad;2023;30,5
Baleares;Con cierta dificultad;2023;32,3
Canarias;No consta;2023;0,3
Canarias;Con mucha facilidad;2023;1,3
Canarias;Con mucha dificultad;2023;9,9
Canarias;Con facilidad;2023;11,1
Canarias;Con dificultad;2023;19,3
Canarias;Con cierta facilidad;2023;22,4
Canarias;Con cierta dificultad;2023;35,6
Cantabria;No consta;2023;0,1
Cantabria;Con mucha facilidad;2023;5,2
Cantabria;Con mucha dificultad;2023;6,5
Cantabria;Con facilidad;2023;23,5
Cantabria;Con dificultad;2023;11,3
Cantabria;Con cierta facilidad;2023;28,9
Cantabria;Con cierta dificultad;2023;24,6
Castilla y León;No consta;2023;0,3
Castilla y León;Con mucha facilidad;2023;4,2
Castilla y León;Con mucha dificultad;2023;7,7
Castilla y León;Con facilidad;2023;26
Castilla y León;Con dificultad;2023;9,2
Castilla y León;Con cierta facilidad;2023;30,7
Castilla y León;Con cierta dificultad;2023;22
Castilla - La Mancha;No consta;2023;0,6
Castilla - La Mancha;Con mucha facilidad;2023;1,8
Castilla - La Mancha;Con mucha dificultad;2023;9,3
Castilla - La Mancha;Con facilidad;2023;19,3
Castilla - La Mancha;Con dificultad;2023;13,5
Castilla - La Mancha;Con cierta facilidad;2023;26,8
Castilla - La Mancha;Con cierta dificultad;2023;28,6
Cataluña;No consta;2023;0,4
Cataluña;Con mucha facilidad;2023;3,2
Cataluña;Con mucha dificultad;2023;9,2
