previsiones;pib_2024_04_2024;pib_2025_04_2024;pib_2024_11_2024;pib_2025_11_2024
Analistas Financieros Internacionales (AFI);1,8;1,8;3,1;2,6
BBVA Research;2,1;2;2,9;2,4
CaixaBank Research;1,9;2,2;2,8;2,3
Cámara de Comercio de España;2;1,9;3,1;2,1
Centro de Estudios Economía de Madrid (CEEM-URJC);1,9;2,3;3,2;3,1
Centro de Predicción Económica (CEPREDE-UAM);2,1;2,4;3;2,3
CEOE;1,8;2;3,1;2,3
Equipo Económico (Ee);2,1;2;3,1;2,2
EthiFinance Ratings;1,9;2;3;2,3
Funcas;1,8;2;3;2,1
Instituto Complutense de Análisis Económico (ICAE-UCM);2,1;2;3;2,4
Instituto de Estudios Económicos (IEE);1,7;1,9;3;2,1
Intermoney;1,8;1,7;2,9;2,1
Mapfre Economics;1,4;1,8;2,9;2,1
Metyis;2;2;3,1;2,4
Oxford Economics;2,1;1,7;3,1;2,4
Repsol;1,5;2,3;3;2,3
Santander;1,8;2;2,9;2,4
Universidad Loyola Andalucía;1,8;1,5;2,9;2,5
