age;position;m;w;total
18-24;1 Izquierda;10;23;33
18-24;2;13;19;32
18-24;3;17;36;53
18-24;4;21;17;37
18-24;5;38;26;64
18-24;6;14;12;26
18-24;7;26;11;36
18-24;8;14;5;19
18-24;9;3;1;4
18-24;10 Derecha;6;5;11
18-24;1 Izquierda;5;6;11
18-24;2;10;21;31
18-24;3;21;31;52
18-24;4;23;23;46
18-24;5;38;33;72
18-24;6;25;8;32
18-24;7;14;17;31
18-24;8;8;7;15
18-24;9;4;0;4
18-24;10 Derecha;9;8;17
18-24;1 Izquierda;12;26;38
18-24;2;9;20;28
18-24;3;17;32;49
18-24;4;24;12;37
18-24;5;26;31;58
18-24;6;26;10;36
18-24;7;18;5;23
18-24;8;14;3;16
18-24;9;0;4;4
18-24;10 Derecha;8;10;18
18-24;1 Izquierda;7;28;35
18-24;2;9;11;20
18-24;3;27;27;54
18-24;4;29;26;55
18-24;5;34;22;56
18-24;6;17;17;34
18-24;7;17;11;29
18-24;8;15;11;27
18-24;9;2;3;5
18-24;10 Derecha;12;5;18
18-24;1 Izquierda;15;17;32
18-24;2;9;21;31
18-24;3;22;26;48
18-24;4;16;27;43
18-24;5;35;26;61
18-24;6;22;12;34
18-24;7;16;8;25
18-24;8;24;10;34
18-24;9;1;1;3
18-24;10 Derecha;7;5;12
18-24;1 Izquierda;29;44;73
18-24;2;16;27;43
18-24;3;50;46;96
18-24;4;37;40;78
18-24;5;52;62;114
18-24;6;51;18;68
18-24;7;32;19;51
18-24;8;25;17;43
18-24;9;7;10;16
18-24;10 Derecha;13;5;18
18-24;1 Izquierda;13;32;46
18-24;2;8;19;26
18-24;3;25;26;51
18-24;4;21;18;39
18-24;5;30;24;54
18-24;6;18;16;34
18-24;7;25;8;33
18-24;8;10;11;22
18-24;9;7;2;9
18-24;10 Derecha;17;3;21
18-24;1 Izquierda;26;59;85
18-24;2;31;45;76
18-24;3;73;92;165
18-24;4;61;54;114
18-24;5;77;60;137
18-24;6;47;24;72
18-24;7;49;29;77
18-24;8;27;17;44
18-24;9;7;5;12
18-24;10 Derecha;16;18;34
18-24;1 Izquierda;14;24;38
18-24;2;9;16;25
18-24;3;23;30;54
18-24;4;18;23;41
18-24;5;25;28;53
18-24;6;25;10;35
18-24;7;28;14;42
18-24;8;21;15;36
18-24;9;3;3;6
18-24;10 Derecha;3;0;3
18-24;1 Izquierda;13;22;34
18-24;2;13;10;22
18-24;3;23;36;59
18-24;4;14;17;31
18-24;5;25;20;45
18-24;6;20;15;35
18-24;7;30;15;45
18-24;8;6;14;19
18-24;9;1;0;1
18-24;10 Derecha;13;11;25
18-24;1 Izquierda;10;18;27
18-24;2;15;25;40
18-24;3;28;22;50
18-24;4;27;21;48
18-24;5;38;40;79
18-24;6;16;16;32
18-24;7;24;10;34
18-24;8;13;19;32
18-24;9;10;3;13
18-24;10 Derecha;6;4;10
25-34;1 Izquierda;19;34;53
25-34;2;11;14;24
25-34;3;42;40;83
25-34;4;30;32;63
25-34;5;50;44;93
25-34;6;33;23;56
25-34;7;29;14;42
25-34;8;11;14;25
25-34;9;1;6;7
25-34;10 Derecha;9;5;14
25-34;1 Izquierda;21;31;52
25-34;2;22;11;33
25-34;3;46;37;83
25-34;4;36;35;71
25-34;5;48;44;92
25-34;6;23;23;47
25-34;7;24;24;48
25-34;8;9;13;22
25-34;9;1;4;5
25-34;10 Derecha;7;5;13
25-34;1 Izquierda;11;25;36
25-34;2;19;20;39
25-34;3;38;46;84
25-34;4;31;24;55
25-34;5;52;46;98
25-34;6;29;20;48
25-34;7;22;17;39
25-34;8;9;8;17
25-34;9;4;1;5
25-34;10 Derecha;11;9;20
25-34;1 Izquierda;22;39;61
25-34;2;23;20;43
25-34;3;39;38;77
25-34;4;27;26;53
25-34;5;53;60;113
25-34;6;30;10;40
25-34;7;26;10;36
25-34;8;16;11;27
25-34;9;4;5;9
25-34;10 Derecha;9;17;26
25-34;1 Izquierda;26;33;59
25-34;2;20;21;41
25-34;3;33;35;67
25-34;4;29;34;63
25-34;5;50;42;91
25-34;6;25;10;35
25-34;7;26;27;53
25-34;8;24;11;35
25-34;9;2;3;5
25-34;10 Derecha;8;11;20
25-34;1 Izquierda;38;66;104
25-34;2;38;41;80
25-34;3;83;82;166
25-34;4;49;45;94
25-34;5;89;83;172
25-34;6;52;23;75
25-34;7;46;34;79
25-34;8;22;26;48
25-34;9;9;3;12
25-34;10 Derecha;14;19;33
25-34;1 Izquierda;22;32;54
25-34;2;20;25;44
25-34;3;34;45;79
25-34;4;32;30;61
25-34;5;55;42;97
25-34;6;21;16;37
25-34;7;28;22;49
25-34;8;22;12;34
25-34;9;3;2;5
25-34;10 Derecha;9;9;18
25-34;1 Izquierda;65;86;151
25-34;2;40;46;86
25-34;3;99;113;212
25-34;4;58;73;131
25-34;5;145;102;247
25-34;6;66;37;103
25-34;7;56;40;96
25-34;8;29;37;66
25-34;9;8;8;16
25-34;10 Derecha;27;19;46
25-34;1 Izquierda;22;36;57
25-34;2;19;25;44
25-34;3;42;48;91
25-34;4;24;20;44
25-34;5;44;42;86
25-34;6;26;9;35
25-34;7;30;21;50
25-34;8;19;14;34
25-34;9;1;5;6
25-34;10 Derecha;12;10;22
25-34;1 Izquierda;13;32;46
25-34;2;21;15;36
25-34;3;33;41;73
25-34;4;17;19;36
25-34;5;63;32;95
25-34;6;19;18;37
25-34;7;37;27;64
25-34;8;14;20;34
25-34;9;7;0;7
25-34;10 Derecha;14;27;41
25-34;1 Izquierda;32;31;63
25-34;2;27;16;43
25-34;3;42;52;94
25-34;4;25;15;40
25-34;5;55;64;119
25-34;6;41;11;51
25-34;7;17;32;49
25-34;8;15;15;31
25-34;9;4;7;11
25-34;10 Derecha;16;17;33
35-44;1 Izquierda;26;25;50
35-44;2;19;22;41
35-44;3;56;62;118
35-44;4;47;36;82
35-44;5;88;79;168
35-44;6;31;30;61
35-44;7;23;34;57
35-44;8;15;16;30
