note,key,composer,symphony
C,major,Carl Friedrich Abel,"Symphony, Op. 10 No. 4"
C,major,Kurt Atterberg,"Symphony No. 6 , Op. 31 (1927-28)"
C,major,Johann Christoph Friedrich Bach,Symphony BR C10 \ (Wf I: 6)
C,major,Carl Philipp Emanuel Bach,Symphony in C major Wq 174 \ H 649 (1755)
C,major,Carl Philipp Emanuel Bach,Symphony in C major Wq 182:3 \ H 659 (1773)
C,major,Mily Balakirev,Symphony No. 1 (1864-97)
C,major,Woldemar Bargiel,"Symphony, Op. 30 (1861)"
C,major,Arnold Bax,Symphony No. 2 in E minor and C major (1924-6)
C,major,Ludwig van Beethoven,"Symphony No. 1, Op. 21 (1800)"
C,major,Victor Bendix,"Symphony No. 1 """"Fjældstigning"""" , Op. 16 (1882)"
C,major,Franz Berwald,"Symphony No. 3 """"Singulière"""""
C,major,Georges Bizet,Symphony in C (1855)
C,major,Georges Bizet,Roma Symphony (1866-75)
C,major,Luigi Boccherini,"Symphony in C major, G. 495, Op. 21/3 (1775)"
C,major,Luigi Boccherini,"Symphony in C major, G. 505, Op. 12/3 (1771)"
C,major,Luigi Boccherini,"Symphony in C major, G. 515, Op. 37/1 (1786)"
C,major,Luigi Boccherini,"Symphony in C major, G. 519, Op. 41 (1788)"
C,major,William Boyce,"Symphony in C major, Op. 2 No. 3"
C,major,Joly Braga Santos,Symphony No. 3 in C major (1949)
C,major,Havergal Brian,Symphony No. 4  (1932-3)
C,major,Havergal Brian,Symphony No. 7  (1948)
C,major,Havergal Brian,Symphony No. 13  (1959)
C,major,Havergal Brian,Symphony No. 23 (1965)
C,major,John Alden Carpenter,Symphony
C,major,Alfredo Casella,"Symphony No. 3, Op. 63 (1939-40)"
C,major,George Whitefield Chadwick,Symphony No. 1
C,major,Felix Draeseke,"Symphony No. 3 Tragica , Op. 40 (1885-6)"
C,major,Paul Dukas,Symphony in C (1896)
C,major,Georges Enescu,"Symphony No. 3, Op. 21 (1916-18)"
C,major,Robert Fuchs,"Symphony No. 1, Op. 37 (1884)"
C,major,Florian Leopold Gassmann,"Symphonies Hill 21, 23, 43, 86. Also, a symphony in C major that might be by Aumon"
C,major,Anatoly Luppov,Symphony No.1 in C major (1964)
C,major,William Gilchrist,Symphony No. 1
C,major,Asger Hamerik,"Symphony No. 4 """"Majestic"""" , Op. 35 (premiered 1889, Baltimore)"
C,major,Joseph Haydn,Symphony No. 2 (composed by 1764)
C,major,Joseph Haydn,"Symphony No. 7, Le Midi (1761)"
C,major,Joseph Haydn,Symphony No. 9 (1762)
C,major,Joseph Haydn,Symphony No. 20 (composed by 1766)
C,major,Joseph Haydn,Symphony No. 25 (1766)
C,major,Joseph Haydn,"Symphony No. 30, Alleluia (1765)"
C,major,Joseph Haydn,Symphony No. 32 (composed by 1766)
C,major,Joseph Haydn,Symphony No. 33 (composed by 1767)
C,major,Joseph Haydn,Symphony No. 37 (composed by 1758)
C,major,Joseph Haydn,"Symphony No. 38, Echo (composed by 1769)"
