date;position;week;year
1981-10-03;66;1;1981
1981-10-10;47;2;1981
1981-10-17;31;3;1981
1981-10-24;26;4;1981
1981-10-31;23;5;1981
1981-11-07;14;6;1981
1981-11-14;3;7;1981
1981-11-21;1;8;1981
1981-11-28;1;9;1981
1981-12-05;1;10;1981
1981-12-12;1;11;1981
1981-12-19;1;12;1981
1981-12-26;1;13;1981
1982-01-02;1;14;1982
1982-01-09;1;15;1982
1982-01-16;1;16;1982
1982-01-23;1;17;1982
1982-01-30;4;18;1982
1982-02-06;7;19;1982
1982-02-13;8;20;1982
1982-02-20;9;21;1982
1982-02-27;17;22;1982
1982-03-06;31;23;1982
1982-03-13;46;24;1982
1982-03-20;56;25;1982
1982-03-27;95;26;1982
