country;exchange_rate;region
Brunei Darussalam;1,40;Southeast Asia
Cambodia;4118,00;Southeast Asia
Indonesia;15731,00;Southeast Asia
Lao People’s Democratic Republic;16600,00;Southeast Asia
Malaysia;4,40;Southeast Asia
Myanmar;1329,10;Southeast Asia
Philippines;56,10;Southeast Asia
Singapore;1,34;Southeast Asia
Thailand;34,56;Southeast Asia
Viet Nam;23612,00;Southeast Asia
Bangladesh;99,00;South Asia
India;82,80;South Asia
Nepal;131,90;South Asia
Pakistan;226,50;South Asia
Sri Lanka;363,10;South Asia
Armenia;393,60;Central and West Asia
Azerbaijan;1,70;Central and West Asia
Georgia;2,70;Central and West Asia
Kazakhstan;462,70;Central and West Asia
Kyrgyz Rep.;85,70;Central and West Asia
Tajikistan;10,20;Central and West Asia
Uzbekistan;11225,50;Central and West Asia
Fiji, Rep. of;2,20;Pacific Islands
Papua New Guinea;3,50;Pacific Islands
Samoa;2,70;Pacific Islands
