Categoría: Todas las categorías

Mes,dinosaurs: (Todo el mundo)
2005-01,56
2005-02,65
2005-03,64
2005-04,67
2005-05,61
2005-06,47
2005-07,42
2005-08,42
2005-09,48
2005-10,51
2005-11,57
2005-12,51
2006-01,60
2006-02,57
2006-03,56
2006-04,55
2006-05,55
2006-06,44
2006-07,41
2006-08,46
2006-09,36
2006-10,44
2006-11,48
2006-12,46
2007-01,49
2007-02,50
2007-03,47
2007-04,46
2007-05,50
2007-06,47
2007-07,49
2007-08,47
2007-09,48
2007-10,48
2007-11,51
2007-12,49
2008-01,54
2008-02,52
2008-03,57
2008-04,55
2008-05,52
2008-06,46
2008-07,46
2008-08,46
2008-09,62
2008-10,51
2008-11,54
2008-12,48
2009-01,48
2009-02,51
2009-03,60
2009-04,64
2009-05,66
2009-06,77
2009-07,87
2009-08,74
2009-09,62
2009-10,67
2009-11,63
2009-12,55
2010-01,59
2010-02,66
2010-03,68
2010-04,60
2010-05,59
2010-06,49
2010-07,54
2010-08,48
2010-09,50
2010-10,49
2010-11,54
2010-12,50
2011-01,49
2011-02,55
2011-03,55
2011-04,58
2011-05,57
2011-06,45
2011-07,45
2011-08,40
2011-09,53
2011-10,54
2011-11,54
2011-12,51
2012-01,59
2012-02,64
2012-03,57
2012-04,55
2012-05,58
2012-06,55
2012-07,55
2012-08,52
2012-09,70
2012-10,57
2012-11,57
2012-12,60
2013-01,57
2013-02,62
2013-03,65
2013-04,68
2013-05,62
2013-06,55
2013-07,60
2013-08,55
2013-09,52
2013-10,54
2013-11,62
2013-12,84
2014-01,81
2014-02,67
2014-03,71
2014-04,66
2014-05,64
2014-06,54
2014-07,59
2014-08,54
2014-09,55
2014-10,51
2014-11,57
2014-12,52
2015-01,56
2015-02,56
2015-03,58
2015-04,58
2015-05,63
2015-06,100
2015-07,71
2015-08,60
2015-09,58
2015-10,58
2015-11,62
2015-12,63
2016-01,63
2016-02,61
2016-03,58
2016-04,60
2016-05,61
2016-06,51
2016-07,54
2016-08,48
2016-09,49
2016-10,49
2016-11,48
2016-12,52
2017-01,56
2017-02,57
2017-03,59
2017-04,56
2017-05,53
2017-06,49
2017-07,49
2017-08,47
2017-09,49
2017-10,47
2017-11,48
2017-12,52
2018-01,51
2018-02,54
2018-03,54
2018-04,53
2018-05,55
2018-06,71
2018-07,79
2018-08,67
2018-09,56
2018-10,54
2018-11,55
2018-12,50
2019-01,49
2019-02,50
2019-03,55
2019-04,56
2019-05,48
2019-06,45
2019-07,44
2019-08,43
2019-09,43
2019-10,42
2019-11,41
2019-12,43
2020-01,44
2020-02,45
2020-03,43
2020-04,48
2020-05,47
2020-06,48
2020-07,47
2020-08,48
2020-09,48
2020-10,46
2020-11,43
2020-12,46
2021-01,50
2021-02,52
2021-03,45
2021-04,47
2021-05,46
2021-06,47
2021-07,43
2021-08,43
2021-09,42
2021-10,39
2021-11,40
2021-12,47
2022-01,46
2022-02,46
2022-03,45
2022-04,51
2022-05,52
2022-06,57
2022-07,51
2022-08,46
2022-09,45
2022-10,41
2022-11,39
2022-12,40
2023-01,44
2023-02,49
2023-03,48
2023-04,45
2023-05,41
2023-06,41
2023-07,44
2023-08,43
2023-09,42
2023-10,43
2023-11,44
2023-12,41
2024-01,43
2024-02,45
2024-03,42
2024-04,41
