y_m;cpi;brent_crude_oil_12m
    2003M01;3,7;0,340909091
    2003M02;3,8;0,316017316
    2003M03;3,7;0,048327138
    2003M04;3,1;-0,207612457
    2003M05;2,7;-0,192028986
    2003M06;2,7;-0,063492063
    2003M07;2,8;-0,038610039
    2003M08;3;-0,022058824
    2003M09;2,9;-0,166089965
    2003M10;2,6;-0,096428571
    2003M11;2,8;0,016528926
    2003M12;2,6;-0,126353791
    2004M01;2,3;-0,159322034
    2004M02;2,1;-0,200657895
    2004M03;2,1;-0,024822695
    2004M04;2,7;0,209606987
    2004M05;3,4;0,399103139
    2004M06;3,5;0,228813559
    2004M07;3,4;0,248995984
    2004M08;3,3;0,330827068
    2004M09;3,2;0,473029046
    2004M10;3,6;0,57312253
    2004M11;3,5;0,349593496
    2004M12;3,2;0,219008264
    2005M01;3,1;0,379032258
    2005M02;3,3;0,432098765
    2005M03;3,4;0,465454545
    2005M04;3,5;0,451263538
    2005M05;3,1;0,224358974
    2005M06;3,1;0,551724138
    2005M07;3,3;0,540192926
    2005M08;3,3;0,474576271
    2005M09;3,7;0,447887324
    2005M10;3,5;0,231155779
    2005M11;3,4;0,412650602
    2005M12;3,7;0,630508475
    2006M01;4,2;0,526315789
    2006M02;4;0,448275862
    2006M03;3,9;0,282878412
    2006M04;3,9;0,422885572
    2006M05;4;0,431937173
    2006M06;3,9;0,204444444
    2006M07;4;0,212943633
    2006M08;3,7;0,097701149
    2006M09;2,9;-0,054474708
    2006M10;2,5;-0,065306122
    2006M11;2,6;-0,017057569
    2006M12;2,7;-0,012474012
    2007M01;2,4;-0,208812261
    2007M02;2,4;-0,123015873
    2007M03;2,5;-0,090909091
    2007M04;2,4;-0,129370629
    2007M05;2,3;-0,085923218
    2007M06;2,4;-0,02398524
    2007M07;2,2;-0,039586919
    2007M08;2,2;-0,090750436
    2007M09;2,7;0,139917695
    2007M10;3,6;0,266375546
    2007M11;4,1;0,379609544
    2007M12;4,2;0,330526316
    2008M01;4,3;0,539951574
    2008M02;4,4;0,475113122
    2008M03;4,5;0,419148936
    2008M04;4,2;0,407630522
    2008M05;4,6;0,596
    2008M06;5;0,620037807
    2008M07;5,3;0,525089606
    2008M08;4,9;0,474088292
    2008M09;4,5;0,258122744
    2008M10;3,6;-0,065517241
    2008M11;2,4;-0,33490566
    2008M12;1,4;-0,515822785
    2009M01;0,8;-0,474842767
    2009M02;0,7;-0,475460123
    2009M03;-0,1;-0,463268366
    2009M04;-0,2;-0,457917261
    2009M05;-0,9;-0,471177945
    2009M06;-1;-0,425904317
    2009M07;-1,4;-0,459459459
    2009M08;-0,8;-0,3359375
    2009M09;-1;-0,332855093
    2009M10;-0,7;-0,094095941
    2009M11;0,3;0,21749409
    2009M12;0,8;0,663398693
    2010M01;1;0,601796407
    2010M02;0,8;0,573099415
