"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value"
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2023",6.93
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2022",7.052
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2021",7.293
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2020",7.696
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2019",6.928
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2018",7.021
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2017",7.557
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2016",8.064
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2015",8.362
"World","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","ILO - Modelled Estimates","Sex: Total","Age (Youth, adults): 15+","2014",8.83
