previsiones;pib_2024;pib_2025
Analistas Financieros Internacionales (AFI);1,8;1,8
BBVA Research;2,1;2
CaixaBank Research;1,9;2,2
Cámara de Comercio de España;2;1,9
Centro de Estudios Economía de Madrid (CEEM-URJC);1,9;2,3
Centro de Predicción Económica (CEPREDE-UAM);2,1;2,4
CEOE;1,8;2
Equipo Económico (Ee);2,1;2
EthiFinance Ratings;1,9;2
Funcas;1,8;2
Instituto Complutense de Análisis Económico (ICAE-UCM);2,1;2
Instituto de Estudios Económicos (IEE);1,7;1,9
Intermoney;1,8;1,7
Mapfre Economics;1,4;1,8
Metyis;2;2
Oxford Economics;2,1;1,7
Repsol;1,5;2,3
Santander;1,8;2
Universidad Loyola Andalucía;1,8;1,5
