Fecha;Extranjeros y España (excluida Canarias)
03/2024;2018375
02/2024;1836746
01/2024;1739341
2023;19280684
12/2023;1905982
11/2023;1726909
10/2023;1737311
09/2023;1470212
08/2023;1576004
07/2023;1610288
06/2023;1395483
05/2023;1385742
04/2023;1573367
03/2023;1707195
02/2023;1596895
01/2023;1595296
2022;17286949
12/2022;1765971
11/2022;1585099
10/2022;1633480
09/2022;1367100
08/2022;1544046
07/2022;1555727
06/2022;1330794
05/2022;1263332
04/2022;1496211
03/2022;1465502
02/2022;1257258
01/2022;1022429
2021;8296043
12/2021;1297710
11/2021;1318285
10/2021;1343200
09/2021;968990
08/2021;1026248
07/2021;809895
06/2021;466837
05/2021;328486
04/2021;216136
03/2021;207988
02/2021;145546
01/2021;166722
2020;5693229
2004;12660634
01/2004;1045261
02/2004;1090596
03/2004;1107029
04/2004;1041639
05/2004;844375
06/2004;847026
07/2004;1103344
08/2004;1231906
09/2004;1013299
10/2004;1163031
11/2004;1059114
12/2004;1114014
2005;12750771
01/2005;1078251
02/2005;1047982
03/2005;1172431
04/2005;961002
05/2005;844561
06/2005;861976
07/2005;1139866
08/2005;1230369
09/2005;1024833
10/2005;1190416
11/2005;1087188
12/2005;1111896
2006;13155406
01/2006;1045095
02/2006;1031214
03/2006;1182122
04/2006;1142390
05/2006;885815
06/2006;945703
07/2006;1196527
08/2006;1248696
09/2006;1054592
10/2006;1179535
11/2006;1084442
12/2006;1159275
2007;13219349
01/2007;1027616
02/2007;1060870
03/2007;1232057
04/2007;1062158
05/2007;859800
06/2007;938926
07/2007;1187133
08/2007;1249286
09/2007;1056387
10/2007;1185806
11/2007;1149307
12/2007;1210003
2008;13072068
01/2008;1076417
02/2008;1155648
03/2008;1318717
04/2008;1024491
05/2008;907577
06/2008;967121
07/2008;1155030
08/2008;1246988
09/2008;966991
10/2008;1086215
11/2008;1090470
12/2008;1076403
2009;11468333
01/2009;980784
02/2009;954506
03/2009;1028973
04/2009;953968
05/2009;750573
06/2009;783223
07/2009;999853
08/2009;1072655
09/2009;841073
10/2009;1010268
11/2009;1027625
12/2009;1064832
2010;12177546
01/2010;1013938
02/2010;997684
03/2010;1117882
04/2010;840838
05/2010;826209
06/2010;887440
07/2010;1100600
08/2010;1140848
09/2010;940526
10/2010;1142974
11/2010;1083642
12/2010;1084965
2011;13877848
01/2011;1107701
02/2011;1162507
03/2011;1287837
04/2011;1231543
05/2011;897630
06/2011;973818
07/2011;1230204
08/2011;1238784
09/2011;1069499
10/2011;1267519
11/2011;1173475
12/2011;1237331
2012;13230571
01/2012;1143053
02/2012;1134348
03/2012;1235969
04/2012;1044372
05/2012;881032
06/2012;965951
07/2012;1174376
08/2012;1158847
09/2012;1027775
10/2012;1179455
11/2012;1101961
12/2012;1183432
2013;13526439
01/2013;1075738
02/2013;1075968
03/2013;1261886
04/2013;998282
05/2013;913159
06/2013;967756
07/2013;1157622
08/2013;1184428
09/2013;1042595
10/2013;1245588
11/2013;1286597
12/2013;1316820
2014;14478580
01/2014;1195148
02/2014;1172309
03/2014;1327581
04/2014;1209557
05/2014;989555
06/2014;1045130
07/2014;1252328
08/2014;1301767
09/2014;1105163
10/2014;1309887
11/2014;1258780
12/2014;1311375
2015;14933111
01/2015;1232987
02/2015;1204708
03/2015;1332001
04/2015;1150904
05/2015;1045917
06/2015;1060467
07/2015;1280137
08/2015;1347280
09/2015;1141670
10/2015;1394716
11/2015;1338754
12/2015;1403570
2016;17014118
01/2016;1361098
02/2016;1375027
03/2016;1510160
04/2016;1312287
05/2016;1207896
06/2016;1256106
07/2016;1516606
08/2016;1514672
09/2016;1321137
10/2016;1587147
11/2016;1452652
12/2016;1599330
2017;18180995
01/2017;1452746
02/2017;1438342
03/2017;1568698
04/2017;1572978
05/2017;1296939
06/2017;1378762
07/2017;1602888
08/2017;1574087
09/2017;1446259
10/2017;1655159
11/2017;1540900
12/2017;1653237
2018;18059717
01/2018;1492573
02/2018;1470660
03/2018;1676389
04/2018;1409198
05/2018;1293551
06/2018;1354855
07/2018;1560690
08/2018;1544335
09/2018;1434169
10/2018;1638278
11/2018;1522264
12/2018;1662755
2019;17737398
01/2019;1491569
02/2019;1476107
03/2019;1674785
04/2019;1471735
05/2019;1258250
06/2019;1357063
07/2019;1495809
08/2019;1498147
09/2019;1356218
10/2019;1519793
11/2019;1516957
12/2019;1620965
01/2020;1433358
02/2020;1460630
03/2020;598185
04/2020;4327
05/2020;9394
06/2020;35163
07/2020;428525
08/2020;530971
09/2020;286234
10/2020;300365
11/2020;251888
12/2020;354189
