"Date","Price","Open","High","Low","Change %"
"03/15/2022","0.3310","0.3690","0.3700","0.3150","-11.26%"
"03/14/2022","0.3730","0.2720","0.3790","0.2650","38.15%"
"03/11/2022","0.2700","0.2720","0.3160","0.2470","0.00%"
"03/10/2022","0.2700","0.2090","0.3040","0.1510","41.36%"
"03/09/2022","0.1910","0.1120","0.2150","0.0900","78.50%"
"03/08/2022","0.1070","-0.0240","0.1380","-0.0380","-923.08%"
"03/07/2022","-0.0130","-0.0680","0.0001","-0.1010","-87.13%"
"03/04/2022","-0.1010","0.0110","0.0170","-0.1090","-559.09%"
"03/03/2022","0.0220","0.0140","0.0770","-0.0020","120.00%"
"03/02/2022","0.0100","-0.0680","0.0230","-0.0800","-114.49%"
"03/01/2022","-0.0690","0.1320","0.1430","-0.0720","-143.40%"
"02/28/2022","0.1590","0.1670","0.2130","0.1530","-29.02%"
"02/25/2022","0.2240","0.1700","0.2350","0.1450","30.99%"
"02/24/2022","0.1710","0.2230","0.2230","0.1110","-24.00%"
"02/23/2022","0.2250","0.2330","0.2660","0.2160","-7.41%"
"02/22/2022","0.2430","0.1460","0.2800","0.1460","21.50%"
"02/21/2022","0.2000","0.2010","0.2370","0.1740","-2.44%"
"02/18/2022","0.2050","0.2320","0.2480","0.1960","-12.02%"
"02/17/2022","0.2330","0.2540","0.2790","0.2260","-14.34%"
"02/16/2022","0.2720","0.3140","0.3310","0.2590","-12.54%"
"02/15/2022","0.3110","0.2580","0.3260","0.2520","13.92%"
"02/14/2022","0.2730","0.2400","0.2740","0.1900","-6.51%"
"02/11/2022","0.2920","0.2990","0.3010","0.2490","0.00%"
"02/10/2022","0.2920","0.2300","0.2950","0.2120","32.73%"
"02/09/2022","0.2200","0.2650","0.2670","0.2090","-16.67%"
"02/08/2022","0.2640","0.2430","0.2750","0.2030","17.86%"
"02/07/2022","0.2240","0.1870","0.2500","0.1830","7.69%"
"02/04/2022","0.2080","0.1420","0.2290","0.1410","34.19%"
"02/03/2022","0.1550","0.0350","0.1590","0.0320","342.86%"
"02/02/2022","0.0350","0.0290","0.0580","0.0090","-5.41%"
"02/01/2022","0.0370","0.0110","0.0440","-0.0150","164.29%"
"01/31/2022","0.0140","-0.0320","0.0320","-0.0400","-129.79%"
"01/28/2022","-0.0470","-0.0490","-0.0080","-0.0570","-17.54%"
"01/27/2022","-0.0570","-0.0600","-0.0230","-0.0600","-19.72%"
"01/26/2022","-0.0710","-0.0780","-0.0620","-0.0820","-12.35%"
"01/25/2022","-0.0810","-0.1070","-0.0660","-0.1070","-17.35%"
"01/24/2022","-0.0980","-0.0650","-0.0600","-0.1100","46.27%"
"01/22/2022","-0.0670","-0.0670","-0.0670","-0.0670","11.67%"
"01/21/2022","-0.0600","-0.0340","-0.0340","-0.0870","122.22%"
"01/20/2022","-0.0270","0.0030","0.0080","-0.0410","200.00%"
"01/19/2022","-0.0090","0.0040","0.0250","-0.0130","-50.00%"
"01/18/2022","-0.0180","-0.0160","-0.0020","-0.0310","-30.77%"
