HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00003	Animalia	Annelida	Polychaeta	Sabellida	Siboglinidae	Escarpia	laminata	Escarpia laminata												300	1466	wild	medium	acceptable						1466
00005	Animalia	Annelida	Polychaeta	Sabellida	Siboglinidae	Lamellibrachia	luymesi	Lamellibrachia luymesi												250	652	wild	small	acceptable						652
00006	Animalia	Annelida	Polychaeta	Sabellida	Siboglinidae	Seepiophila	jonesi	Seepiophila jonesi												300	1467	wild	small	acceptable						1467
00008	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	hasselti	Australian redback spider														unknown	medium	low						1455
00009	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	pulicaria	Daphnia												0.19		unknown	medium	acceptable						1294,1295,1296
00011	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	Fruit fly	7	7										0.3		captivity	large	acceptable	0.05	0.04				2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150
00012	Animalia	Arthropoda	Insecta	Diptera	Neriidae	Telostylinus	angusticollis	Telostylinus angusticollis												0.05	1442	wild	medium	acceptable						1442
00013	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	capitata	Mediterranean fruit fly												0.49	1447	captivity	large	acceptable						1447
00014	Animalia	Arthropoda	Insecta	Hemiptera	Pseudococcidae	Maconellicoccus	hirsutus	Mealybug												0.08	1449	captivity	small	acceptable						1449
00015	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera	Honey bee												8	812	unknown	medium	acceptable						63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166
00016	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	terrestris	Buff tailed bumblebee												0.27	1444	captivity	small	acceptable						1444
00018	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	obscurior	Cardiocondyla obscurior												0.5	1293	captivity	medium	acceptable						1293
00019	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger	Black garden ant												28	411	unknown	medium	acceptable						411,813,814,1364
00020	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	dentata	Pheidole dentata												0.4	1156	captivity	medium	questionable						1156
00021	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	Squinting bush brown	15	15										0.5	811	wild	medium	acceptable						418,809,811
00022	Animalia	Arthropoda	Insecta	Orthoptera	Gryllidae	Teleogryllus	commodus	Black field cricket														unknown	medium	low						1443
00023	Animalia	Arthropoda	Insecta	Orthoptera	Romaleidae	Romalea	microptera	Eastern lubber grasshopper														unknown	medium	low						1460,1461
00024	Animalia	Arthropoda	Insecta	Phasmatodea	Lonchodidae	Carausius	morosus	Indian stick insect														unknown	medium	low						1441
00025	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus	American lobster												100	2	wild	medium	acceptable						2,13,594
00027	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Astyanax	mexicanus	Mexican tetra												15	1427	captivity	small	acceptable						1427
00028	Animalia	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Heterandria	formosa	Least killifish														unknown	medium	low						1453,1454
00029	Animalia	Chordata	Actinopterygii	Perciformes	Nototheniidae	Dissostichus	eleginoides	Patagonian toothfish												50	1456	unknown	medium	acceptable						1456
