DATAFLOW,LAST UPDATE,freq,unit,asset10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,1995,5.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,1996,5.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,1997,5.6,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,1998,5.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,1999,5.6,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2000,5.4,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2001,5.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2002,4.5,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2003,4.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2004,4.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2005,4.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2006,4.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2007,4.6,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2008,5.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2009,5.5,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2010,5.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2011,4.6,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2012,4.8,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2013,5.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2014,5.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2015,5.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2016,5.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2017,5.5,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2018,5.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2019,5.8,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2020,6.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2021,6.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2022,6.4,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2023,5.8,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Austria,2024,5.4,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,1995,5.9,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,1996,5.4,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,1997,5.6,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,1998,5.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,1999,5.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2000,5.1,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2001,5.0,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2002,4.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2003,4.8,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2004,5.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2005,5.7,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2006,6.2,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2007,6.3,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2008,6.5,,
ESTAT:TIPSNA50(1.0),02/04/25 11:00:00,Annual,Percentage of gross domestic product (GDP),Dwellings (gross),Belgium,2009,5.9,b,
