Sexo de la persona de referencia;Edad de la persona de referencia;Régimen de tenencia de la vivienda principal;Periodo;Total
Ambos sexos;De 16 a 29 años;Propiedad;2024;27,0
Ambos sexos;De 16 a 29 años;Propiedad;2014;34,2
Ambos sexos;De 16 a 29 años;Propiedad;2004;47,7
Ambos sexos;De 16 a 29 años;Propiedad sin hipoteca;2024;12,7
Ambos sexos;De 16 a 29 años;Propiedad sin hipoteca;2014;11,8
Ambos sexos;De 16 a 29 años;Propiedad sin hipoteca;2004;""
Ambos sexos;De 16 a 29 años;Propiedad con hipoteca;2024;14,3
Ambos sexos;De 16 a 29 años;Propiedad con hipoteca;2014;22,4
Ambos sexos;De 16 a 29 años;Propiedad con hipoteca;2004;""
Ambos sexos;De 30 a 44 años;Propiedad;2024;52,9
Ambos sexos;De 30 a 44 años;Propiedad;2014;68,6
Ambos sexos;De 30 a 44 años;Propiedad;2004;71,1
Ambos sexos;De 30 a 44 años;Propiedad sin hipoteca;2024;16,3
Ambos sexos;De 30 a 44 años;Propiedad sin hipoteca;2014;16,6
Ambos sexos;De 30 a 44 años;Propiedad sin hipoteca;2004;""
Ambos sexos;De 30 a 44 años;Propiedad con hipoteca;2024;36,6
Ambos sexos;De 30 a 44 años;Propiedad con hipoteca;2014;52,1
Ambos sexos;De 30 a 44 años;Propiedad con hipoteca;2004;""
Ambos sexos;De 45 a 64 años;Propiedad;2024;76,4
Ambos sexos;De 45 a 64 años;Propiedad;2014;82,0
Ambos sexos;De 45 a 64 años;Propiedad;2004;85,9
Ambos sexos;De 45 a 64 años;Propiedad sin hipoteca;2024;43,3
Ambos sexos;De 45 a 64 años;Propiedad sin hipoteca;2014;53,4
Ambos sexos;De 45 a 64 años;Propiedad sin hipoteca;2004;""
Ambos sexos;De 45 a 64 años;Propiedad con hipoteca;2024;33,1
Ambos sexos;De 45 a 64 años;Propiedad con hipoteca;2014;28,6
Ambos sexos;De 45 a 64 años;Propiedad con hipoteca;2004;""
Ambos sexos;65 y más años;Propiedad;2024;88,6
Ambos sexos;65 y más años;Propiedad;2014;89,8
Ambos sexos;65 y más años;Propiedad;2004;86,5
Ambos sexos;65 y más años;Propiedad sin hipoteca;2024;82,3
Ambos sexos;65 y más años;Propiedad sin hipoteca;2014;85,3
Ambos sexos;65 y más años;Propiedad sin hipoteca;2004;""
Ambos sexos;65 y más años;Propiedad con hipoteca;2024;6,3
Ambos sexos;65 y más años;Propiedad con hipoteca;2014;4,5
Ambos sexos;65 y más años;Propiedad con hipoteca;2004;""
