Localización;Precio m2 mar 2025;Variación mensual;Variación trimestral;Variación anual;Máximo histórico;Variación máximo
Madrid;5.321 €/m2;1,60%;7,40%;22,70%;5.321 €/m2 mar 2025;0,00%
Salamanca;9.374 €/m2;3,40%;6,30%;27,10%;9.374 €/m2 mar 2025;0,00%
Chamberí;7.677 €/m2;1,60%;5,10%;20,90%;7.677 €/m2 mar 2025;0,00%
Retiro;7.014 €/m2;2,20%;7,10%;28,80%;7.014 €/m2 mar 2025;0,00%
Chamartín;6.988 €/m2;2,40%;5,40%;15,70%;6.988 €/m2 mar 2025;0,00%
Centro;6.816 €/m2;1,00%;3,00%;10,90%;6.816 €/m2 mar 2025;0,00%
Moncloa;5.500 €/m2;2,00%;3,30%;17,00%;5.500 €/m2 mar 2025;0,00%
Arganzuela;5.341 €/m2;0,60%;3,60%;16,30%;5.341 €/m2 mar 2025;0,00%
Tetuán;5.162 €/m2;3,60%;3,30%;18,80%;5.162 €/m2 mar 2025;0,00%
Hortaleza;4.745 €/m2;1,60%;4,50%;14,80%;4.745 €/m2 mar 2025;0,00%
Fuencarral;4.572 €/m2;1,50%;5,50%;17,00%;4.572 €/m2 mar 2025;0,00%
Ciudad Lineal;4.219 €/m2;3,30%;4,10%;20,70%;4.219 €/m2 mar 2025;0,00%
Barajas;4.070 €/m2;-1,30%;5,90%;14,70%;4.123 €/m2 feb 2025;-1,30%
Moratalaz;3.607 €/m2;2,90%;5,00%;19,00%;3.607 €/m2 mar 2025;0,00%
San Blas;3.362 €/m2;2,30%;2,50%;17,40%;3.656 €/m2 nov 2007;-8,10%
Latina;3.275 €/m2;3,90%;5,30%;21,40%;3.275 €/m2 mar 2025;0,00%
Vicálvaro;3.171 €/m2;0,40%;-3,00%;9,50%;3.297 €/m2 nov 2024;-3,80%
Carabanchel;3.039 €/m2;1,80%;3,60%;16,30%;3.173 €/m2 jun 2007;-4,20%
Villa de Vallecas;3.032 €/m2;1,80%;-2,80%;8,30%;3.119 €/m2 dic 2024;-2,80%
Usera;2.880 €/m2;2,20%;4,50%;21,60%;3.127 €/m2 oct 2007;-7,90%
Puente de Vallecas;2.648 €/m2;1,50%;1,70%;13,00%;2.944 €/m2 abr 2008;-10,10%
Villaverde;2.294 €/m2;1,80%;1,90%;15,40%;2.900 €/m2 feb 2008;-20,90%
