DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2014,1.9,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2015,4.2,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2016,5.3,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2017,3.1,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2018,3.7,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2019,4.2,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2020,6.5,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2021,9.2,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2022,3.5,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Austria,2023,-10.3,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2014,-1.1,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2015,1.0,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2016,0.8,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2017,1.5,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2018,0.9,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2019,2.2,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2020,3.3,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2021,3.9,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2022,-4.2,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Belgium,2023,-3.4,,
ESTAT:TIPSHO10(1.0),10/01/25 11:00:00,Annual,Annual average rate of change,Bulgaria,2014,0.1,,
