DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2022-Q2,169.43,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2022-Q3,173.59,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2022-Q4,166.32,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2023-Q1,164.35,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2023-Q2,164.68,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2023-Q3,164.29,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2023-Q4,161.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2024-Q1,159.54,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2024-Q2,164.34,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Austria,2024-Q3,165.40,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2022-Q2,132.18,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2022-Q3,134.96,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2022-Q4,134.55,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2023-Q1,135.04,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2023-Q2,134.55,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2023-Q3,136.31,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2023-Q4,138.28,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2024-Q1,139.36,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2024-Q2,138.96,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Belgium,2024-Q3,141.18,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2022-Q2,167.58,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2022-Q3,174.43,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2022-Q4,175.14,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2023-Q1,177.93,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2023-Q2,185.50,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2023-Q3,190.48,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Bulgaria,2023-Q4,192.78,,
