Tipo de dato;Grupos ECOICOP;Periodo;Total
Índice;Índice general;2025M02;124,8
Índice;Índice general;2025M01;124,31
Índice;Índice general;2024M12;124,49
Índice;Índice general;2024M11;123,95
Índice;Índice general;2024M10;123,91
Índice;Índice general;2024M09;123,42
Índice;Índice general;2024M08;123,54
Índice;Índice general;2024M07;123,51
Índice;Índice general;2024M06;124,44
Índice;Índice general;2024M05;123,95
Índice;Índice general;2024M04;123,67
Índice;Índice general;2024M03;122,93
Índice;Índice general;2024M02;121,29
Índice;Índice general;2024M01;120,82
Índice;Índice general;2023M12;121,06
Índice;Índice general;2023M11;121,05
Índice;Índice general;2023M10;121,69
Índice;Índice general;2023M09;121,38
Índice;Índice general;2023M08;120,68
Índice;Índice general;2023M07;120,03
Índice;Índice general;2023M06;120,13
Índice;Índice general;2023M05;119,44
Índice;Índice general;2023M04;119,61
Índice;Índice general;2023M03;119,06
Índice;Índice general;2023M02;117,82
Índice;Índice general;2023M01;116,72
Índice;Índice general;2022M12;117,22
Índice;Índice general;2022M11;117,22
Índice;Índice general;2022M10;117,61
Índice;Índice general;2022M09;117,55
Índice;Índice general;2022M08;117,84
Índice;Índice general;2022M07;117,54
Índice;Índice general;2022M06;118,22
Índice;Índice general;2022M05;116,03
Índice;Índice general;2022M04;115,21
Índice;Índice general;2022M03;115,51
Índice;Índice general;2022M02;111,15
Índice;Índice general;2022M01;110,26
Índice;Índice general;2021M12;111,13
Índice;Índice general;2021M11;109,87
Índice;Índice general;2021M10;109,6
Índice;Índice general;2021M09;107,87
Índice;Índice general;2021M08;106,65
Índice;Índice general;2021M07;106,18
Índice;Índice general;2021M06;107,46
Índice;Índice general;2021M05;106,95
Índice;Índice general;2021M04;106,39
Índice;Índice general;2021M03;105,22
Índice;Índice general;2021M02;103,27
Índice;Índice general;2021M01;103,87
Índice;Índice general;2020M12;104,28
Índice;Índice general;2020M11;104,12
Índice;Índice general;2020M10;104,01
Índice;Índice general;2020M09;103,69
Índice;Índice general;2020M08;103,23
Índice;Índice general;2020M07;103,23
Índice;Índice general;2020M06;104,87
Índice;Índice general;2020M05;104,41
Índice;Índice general;2020M04;104,35
Índice;Índice general;2020M03;103,98
Índice;Índice general;2020M02;103,36
Índice;Índice general;2020M01;103,42
Índice;Índice general;2019M12;104,88
Índice;Índice general;2019M11;105,01
Índice;Índice general;2019M10;104,97
Índice;Índice general;2019M09;104,28
Índice;Índice general;2019M08;103,87
Índice;Índice general;2019M07;103,98
Índice;Índice general;2019M06;105,18
Índice;Índice general;2019M05;105,31
Índice;Índice general;2019M04;105,06
Índice;Índice general;2019M03;103,9
Índice;Índice general;2019M02;102,47
Índice;Índice general;2019M01;102,26
Índice;Índice general;2018M12;104
Índice;Índice general;2018M11;104,52
Índice;Índice general;2018M10;104,77
Índice;Índice general;2018M09;104,06
Índice;Índice general;2018M08;103,41
Índice;Índice general;2018M07;103,31
Índice;Índice general;2018M06;104,56
Índice;Índice general;2018M05;104,32
Índice;Índice general;2018M04;103,36
Índice;Índice general;2018M03;102,59
Índice;Índice general;2018M02;101,37
Índice;Índice general;2018M01;101,22
Índice;Índice general;2017M12;102,74
Índice;Índice general;2017M11;102,73
Índice;Índice general;2017M10;102,4
Índice;Índice general;2017M09;101,77
Índice;Índice general;2017M08;101,15
Índice;Índice general;2017M07;100,98
Índice;Índice general;2017M06;102,22
Índice;Índice general;2017M05;102,16
Índice;Índice general;2017M04;102,21
Índice;Índice general;2017M03;101,29
Índice;Índice general;2017M02;100,16
Índice;Índice general;2017M01;100,5
Índice;Índice general;2016M12;101,5
Índice;Índice general;2016M11;100,95
Índice;Índice general;2016M10;100,71
Índice;Índice general;2016M09;99,93
Índice;Índice general;2016M08;99,21
Índice;Índice general;2016M07;99,25
Índice;Índice general;2016M06;100,59
Índice;Índice general;2016M05;100,17
Índice;Índice general;2016M04;99,65
Índice;Índice general;2016M03;99,16
Índice;Índice general;2016M02;97,21
Índice;Índice general;2016M01;97,63
Índice;Índice general;2015M12;100,09
Índice;Índice general;2015M11;100,47
Índice;Índice general;2015M10;100,21
Índice;Índice general;2015M09;99,9
Índice;Índice general;2015M08;99,5
Índice;Índice general;2015M07;99,9
Índice;Índice general;2015M06;101,46
Índice;Índice general;2015M05;101,27
Índice;Índice general;2015M04;100,83
Índice;Índice general;2015M03;100,15
Índice;Índice general;2015M02;98,18
Índice;Índice general;2015M01;98,04
Índice;Índice general;2014M12;100,22
Índice;Índice general;2014M11;100,88
Índice;Índice general;2014M10;101,12
Índice;Índice general;2014M09;101,04
Índice;Índice general;2014M08;100,02
Índice;Índice general;2014M07;99,93
Índice;Índice general;2014M06;101,49
Índice;Índice general;2014M05;101,54
Índice;Índice general;2014M04;101,57
Índice;Índice general;2014M03;100,94
Índice;Índice general;2014M02;99,36
Índice;Índice general;2014M01;99,49
Índice;Índice general;2013M12;101,37
Índice;Índice general;2013M11;101,35
Índice;Índice general;2013M10;101,34
Índice;Índice general;2013M09;101,32
Índice;Índice general;2013M08;100,54
Índice;Índice general;2013M07;100,29
Índice;Índice general;2013M06;101,44
Índice;Índice general;2013M05;101,33
Índice;Índice general;2013M04;101,23
Índice;Índice general;2013M03;101,16
Índice;Índice general;2013M02;99,31
Índice;Índice general;2013M01;99,22
Índice;Índice general;2012M12;101,06
Índice;Índice general;2012M11;101,05
Índice;Índice general;2012M10;101,29
Índice;Índice general;2012M09;100,83
Índice;Índice general;2012M08;98,92
Índice;Índice general;2012M07;98,42
Índice;Índice general;2012M06;99,26
Índice;Índice general;2012M05;99,5
Índice;Índice general;2012M04;99,71
Índice;Índice general;2012M03;98,64
Índice;Índice general;2012M02;96,51
Índice;Índice general;2012M01;96,48
Índice;Índice general;2011M12;98,11
Índice;Índice general;2011M11;98,09
Índice;Índice general;2011M10;97,87
Índice;Índice general;2011M09;97,46
Índice;Índice general;2011M08;96,31
Índice;Índice general;2011M07;96,34
Índice;Índice general;2011M06;97,48
Índice;Índice general;2011M05;97,66
Índice;Índice general;2011M04;97,78
Índice;Índice general;2011M03;96,93
Índice;Índice general;2011M02;94,7
Índice;Índice general;2011M01;94,6
Índice;Índice general;2010M12;95,86
Índice;Índice general;2010M11;95,33
Índice;Índice general;2010M10;95,03
Índice;Índice general;2010M09;94,61
Índice;Índice general;2010M08;93,75
Índice;Índice general;2010M07;93,54
Índice;Índice general;2010M06;94,6
Índice;Índice general;2010M05;94,49
Índice;Índice general;2010M04;94,46
Índice;Índice general;2010M03;93,8
Índice;Índice general;2010M02;91,61
Índice;Índice general;2010M01;91,82
Índice;Índice general;2009M12;93,19
Índice;Índice general;2009M11;93,21
Índice;Índice general;2009M10;92,71
Índice;Índice general;2009M09;92,06
Índice;Índice general;2009M08;92,29
Índice;Índice general;2009M07;91,92
Índice;Índice general;2009M06;92,68
Índice;Índice general;2009M05;92,22
Índice;Índice general;2009M04;92,26
Índice;Índice general;2009M03;91,36
Índice;Índice general;2009M02;91,21
Índice;Índice general;2009M01;91,19
Índice;Índice general;2008M12;92,36
Índice;Índice general;2008M11;92,83
Índice;Índice general;2008M10;93,24
Índice;Índice general;2008M09;92,92
Índice;Índice general;2008M08;92,97
Índice;Índice general;2008M07;93,15
Índice;Índice general;2008M06;93,58
Índice;Índice general;2008M05;93,04
Índice;Índice general;2008M04;92,4
Índice;Índice general;2008M03;91,41
Índice;Índice general;2008M02;90,59
Índice;Índice general;2008M01;90,46
Índice;Índice general;2007M12;91,04
Índice;Índice general;2007M11;90,65
