Distrito;year;Renta neta media por persona;Menores de 16;ESPECIE CANINA;ESPECIE FELINA;precio €/m2 vivienda venta
01. Centro;2015;15512;11990;13505;3540;3569
01. Centro;2016;16147;11777;15470;6164;3782
01. Centro;2017;16711;11476;15775;6752;4582
01. Centro;2018;17932;11228;15881;8186;4973
01. Centro;2019;18789;11171;16010;9248;5059
01. Centro;2020;18314;10919;16202;9477;4865
01. Centro;2021;19199;10608;16442;9878;4844
01. Centro;2022;20587;10282;16943;10645;5205
02. Arganzuela;2015;16855;19927;9789;1939;2755
02. Arganzuela;2016;17306;20091;10591;3202;2925
02. Arganzuela;2017;17738;19930;10808;3668;3445
02. Arganzuela;2018;18473;19723;10622;4458;4027
02. Arganzuela;2019;19088;19400;10556;5074;4019
02. Arganzuela;2020;19284;19104;10732;5232;3888
02. Arganzuela;2021;20103;18571;10843;5439;4060
02. Arganzuela;2022;21383;18003;11894;5951;4331
03. Retiro;2015;20900;14681;8883;1391;3368
03. Retiro;2016;21504;14893;8183;2061;3459
03. Retiro;2017;21598;14891;8309;2313;4011
03. Retiro;2018;22706;15010;7955;2773;4478
03. Retiro;2019;23262;14979;7786;3105;4539
03. Retiro;2020;23227;14928;7890;3184;4502
03. Retiro;2021;23925;14443;7942;3311;4733
03. Retiro;2022;25407;14142;7948;3513;5017
04. Salamanca;2015;23009;16472;13159;1860;4375
04. Salamanca;2016;24433;16545;12709;3424;4495
04. Salamanca;2017;24683;16612;13205;3797;5158
04. Salamanca;2018;26255;16588;13312;4520;5710
04. Salamanca;2019;25770;16586;13471;5033;5873
04. Salamanca;2020;25932;16507;13634;5133;5740
04. Salamanca;2021;25956;16147;13880;5316;6088
04. Salamanca;2022;28140;15862;14446;5511;6633
05. Chamartín;2015;24155;19093;13159;1860;4023
05. Chamartín;2016;25969;19511;11759;2809;4245
05. Chamartín;2017;26267;19777;11894;3123;4635
05. Chamartín;2018;28190;20103;11417;3601;5198
05. Chamartín;2019;27634;20152;11098;3922;5056
05. Chamartín;2020;27719;20283;11250;3996;4999
05. Chamartín;2021;28233;19913;11361;4122;5111
05. Chamartín;2022;30506;19388;11289;4323;5590
06. Tetuán;2015;14563;18425;12502;2204;2605
06. Tetuán;2016;14970;18573;12427;3424;2769
06. Tetuán;2017;15180;18723;12583;3851;3086
06. Tetuán;2018;15742;18709;12478;4763;3629
06. Tetuán;2019;16354;18510;12470;5535;3656
06. Tetuán;2020;16336;18590;12556;5638;3649
06. Tetuán;2021;17026;18293;12607;5909;3677
06. Tetuán;2022;18062;17909;12693;6554;4051
07. Chamberí;2015;21558;15155;14176;1939;3801
07. Chamberí;2016;22499;15252;13461;2979;4015
07. Chamberí;2017;22897;15263;13804;3424;4771
07. Chamberí;2018;24112;15256;13615;4087;5311
07. Chamberí;2019;24881;15158;13359;4692;5301
07. Chamberí;2020;24913;15042;13466;4782;5283
07. Chamberí;2021;25275;14767;13632;4987;5427
07. Chamberí;2022;27076;14541;13873;5347;5870
08. Fuencarral-El Pardo;2015;18109;40080;18305;2819;2768
08. Fuencarral-El Pardo;2016;18573;41250;17975;4284;2884
