# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 21 13:14:18 2025
#
# CONSTRAINT:  where (default_flag =1
# CONSTRAINT:  and disc_facility like '%TESS%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308000000,0.00006000000,-0.00006000000,0,0.0649000000,0.0012000000,-0.0012000000,0,3.95677019,0.14571675,-0.14571675,0,0.35300000,0.01300000,-0.01300000,0,,,,,,,,,,0.005770,0.001010,-0.001010,0,21.2000,2.5000,-2.4000,0,600.00,17.00,-16.00,0,1,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0,[Fe/H],4.404000,0.026000,-0.031000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.72210000,0.00462500,-0.00462500,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2024-09-28,2023-12,2024-09-28
AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969000000,0.00008000000,-0.00008000000,0,0.1108000000,0.0020000000,-0.0020000000,0,2.52202066,0.24659758,-0.24659758,0,0.22500000,0.02200000,-0.02200000,0,,,,,,,,,,0.003380,0.001640,-0.001640,0,7.3000,0.9000,-0.8000,0,459.00,13.00,-12.00,0,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0,[Fe/H],4.404000,0.026000,-0.031000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.72210000,0.00462500,-0.00462500,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2024-09-28,2023-12,2024-09-28
BD+05 4868 A b,BD+05 4868 A,1,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,1.27186900000,0.00000100000,-0.00000100000,0,0.0208000000,0.0003000000,-0.0003000000,0,,,,,,,,,6.20000000,,,1,0.01950738,,,1,Mass,,,,,,,,,1820.00,45.00,-45.00,0,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,K V,4596.00,65.00,-64.00,0,0.690000,0.020000,-0.020000,0,0.700000,0.020000,-0.020000,0,-0.0500,0.0800,-0.0500,0,[Fe/H],4.600000,0.030000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,43.56870000,0.09750000,-0.09710000,10.1580000,0.0100000,-0.0100000,7.4480000,0.0260000,-0.0260000,9.8415200,0.0004760,-0.0004760,2025-03-21,2025-01,2025-03-21
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.28897310000,0.00000520000,-0.00000520000,0,0.0656000000,0.0026000000,-0.0026000000,0,21.59000000,1.05000000,-1.05000000,0,1.92600000,0.09400000,-0.09400000,0,3932.00000000,290.00000000,-280.00000000,0,12.37000000,0.92000000,-0.87000000,0,Mass,0.066000,0.009800,-0.011000,0,,,,,2001.00,31.00,-31.00,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.00,90.00,-90.00,0,2.350000,0.080000,-0.080000,0,1.410000,0.050000,-0.050000,0,-0.3400,0.0500,-0.0500,0,[Fe/H],3.850000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.42300000,16.59900000,-15.72900000,11.1000000,0.0130000,-0.0130000,9.9320000,0.0260000,-0.0260000,10.9100000,0.0016170,-0.0016170,2024-06-25,2024-03,2024-06-25
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.13826800000,0.00001100000,-0.00001100000,0,,,,,5.70000000,0.17000000,-0.17000000,0,0.50851994,0.01516638,-0.01516638,0,,,,,,,,,,0.000000,,,0,,,,,850.00,,,0,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.00,80.00,-80.00,0,0.964000,0.029000,-0.029000,0,1.010000,0.060000,-0.060000,0,0.0000,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.1960430,44.06220000,0.06930000,-0.06910000,8.1700000,0.0300000,-0.0300000,6.6760000,0.0340000,-0.0340000,8.3192600,0.0010250,-0.0010250,2019-07-03,2019-07,2019-07-11
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.51823310000,0.00000840000,-0.00000840000,0,,,,,1.19300000,0.07400000,-0.07400000,0,0.10643251,0.00660185,-0.00660185,0,1.32000000,0.28000000,-0.28000000,0,0.00415318,0.00088098,-0.00088098,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458.00,140.00,-133.00,0,0.391000,0.020000,-0.020000,0,0.381000,0.019000,-0.019000,0,0.1000,0.1000,-0.1000,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.37300000,0.01920000,-0.01920000,12.6800000,0.2000000,-0.2000000,7.9150000,0.0230000,-0.0230000,11.2364000,0.0008060,-0.0008060,2023-07-10,2022-09,2023-07-10
GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253000000,0.00060000000,-0.00062000000,0,0.1915000000,0.0058000000,-0.0063000000,0,2.61000000,0.17000000,-0.16000000,0,0.23284860,0.01516638,-0.01427424,0,22.70000000,2.20000000,-1.90000000,0,0.07142183,0.00692194,-0.00597804,0,Mass,0.188000,0.076000,-0.078000,0,,,,,422.00,15.00,-14.00,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.00,100.00,-100.00,0,0.695000,0.030000,-0.030000,0,0.730000,0.070000,-0.070000,0,0.0030,0.0600,-0.0600,0,[Fe/H],4.613000,0.052000,-0.061000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.5001660,16.32000000,0.00710000,-0.00710000,8.0800000,0.0300000,-0.0300000,5.3750000,0.0240000,-0.0240000,7.6790600,0.0002600,-0.0002600,2019-04-22,2019-04,2019-04-25
GJ 238 b,GJ 238,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,1.74469990000,0.00000190000,-0.00000180000,0,0.0212300000,0.0001600000,-0.0001700000,0,0.56600000,0.01400000,-0.01400000,0,0.05049522,0.00124900,-0.00124900,0,,,,,,,,,,,,,,,,,,758.00,16.00,-15.00,0,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,M2.5 V,3485.00,140.00,-140.00,0,0.431400,0.007500,-0.007100,0,0.419300,0.009500,-0.009800,0,0.1500,0.1000,-0.1000,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m49.17s,98.4548810,-58d31m30.11s,-58.5250316,15.21420000,0.00710000,-0.00720000,11.6200000,0.1000000,-0.1000000,7.0300000,0.0230000,-0.0230000,10.5294000,0.0004630,-0.0004630,2024-08-07,2024-06,2024-08-07
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.85310540000,0.00000230000,-0.00000230000,0,0.0316500000,0.0002700000,-0.0002700000,0,2.13000000,0.11000000,-0.11000000,0,0.19002620,0.00981356,-0.00981356,0,3.34000000,0.72000000,-0.72000000,0,0.01050882,0.00226537,-0.00226537,0,Mass,0.320000,,,1,,,,,693.00,18.00,-18.00,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.00,70.00,-70.00,0,0.516000,0.016000,-0.016000,0,0.519000,0.013000,-0.013000,0,-0.0600,0.1200,-0.1200,0,[Fe/H],4.727000,0.029000,-0.029000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.47510000,0.02605000,-0.02605000,11.4030000,0.0260000,-0.0260000,7.2940000,0.0260000,-0.0260000,10.5521000,0.0009380,-0.0009380,2023-11-28,2022-07,2023-11-28
GJ 341 b,GJ 341,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,7.57686000000,0.00003400000,-0.00002000000,0,,,,,0.88000000,0.05000000,-0.05000000,0,0.07850848,0.00446071,-0.00446071,0,4.00000000,,,1,0.01258541,,,1,Mass,0.000000,,,0,13.8000,5.9000,-3.7000,0,,,,,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,M1,3770.00,40.00,-40.00,0,0.506600,0.016900,-0.017200,0,0.480000,0.030000,-0.030000,0,-0.1600,0.0900,-0.0900,0,[Fe/H],4.720000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m35.85s,140.3993759,-60d16m52.21s,-60.2811692,10.45400000,0.00315000,-0.00315000,9.4900000,0.1000000,-0.1000000,5.5870000,0.0210000,-0.0210000,8.6753800,0.0005590,-0.0005590,2025-02-25,2025-02,2025-02-25
