DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2014,96.04,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2016,103.89,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2017,106.92,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2018,109.83,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2019,114.07,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2020,121.91,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2021,128.75,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2022,133.76,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Austria,2023,122.07,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2014,98.90,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2016,99.89,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2017,100.21,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2018,100.24,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2019,100.39,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2020,103.29,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2021,104.37,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2022,101.83,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Belgium,2023,97.31,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2014,105.12,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2015,100.00,bd,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2016,98.10,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2017,94.90,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2018,90.22,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2019,86.86,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2020,86.29,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2021,82.89,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2022,81.75,bd,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Bulgaria,2023,77.80,d,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2014,102.43,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2015,100.00,b,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2016,96.36,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2017,93.87,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2018,90.71,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2019,85.99,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2020,84.27,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2021,75.01,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2022,69.23,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Cyprus,2023,68.50,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2014,99.08,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2016,103.13,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2017,106.93,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2018,107.94,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2019,110.19,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2020,112.36,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2021,122.58,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2022,131.30,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Czechia,2023,121.31,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2014,97.81,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2016,104.65,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2017,107.73,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2018,110.86,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2019,113.98,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2020,121.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2021,129.48,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2022,126.81,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Germany,2023,110.32,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2014,96.53,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2016,101.24,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2017,103.98,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2018,105.63,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2019,105.92,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2020,109.51,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2021,117.59,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2022,116.30,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Denmark,2023,108.28,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2014,100.47,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2016,101.73,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2017,103.41,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2018,105.27,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2019,106.65,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2020,111.33,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2021,114.19,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2022,114.94,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Euro area – 20 countries (from 2023),2023,106.84,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2014,100.31,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2015,100.00,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2016,99.95,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2017,98.10,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2018,92.49,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2019,93.04,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2020,96.54,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2021,102.10,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2022,110.42,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Estonia,2023,110.61,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2014,104.55,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2015,100.00,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2016,98.02,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2017,95.24,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2018,97.68,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2019,97.59,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2020,105.26,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2021,102.76,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2022,107.91,e,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Greece,2023,113.38,ep,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Spain,2014,100.73,,
ESTAT:TIPSHO60(1.0),10/01/25 11:00:00,Annual,"Price-to-income ratio, index 2015=100",Spain,2015,100.00,,
