Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;;;Viviendas: Total;2007M01;83.713
Total Nacional;;;Viviendas: Total;2007M02;72.287
Total Nacional;;;Viviendas: Total;2007M03;74.023
Total Nacional;;;Viviendas: Total;2007M04;60.032
Total Nacional;;;Viviendas: Total;2007M05;75.883
Total Nacional;;;Viviendas: Total;2007M06;66.670
Total Nacional;;;Viviendas: Total;2007M07;63.731
Total Nacional;;;Viviendas: Total;2007M08;58.872
Total Nacional;;;Viviendas: Total;2007M09;61.723
Total Nacional;;;Viviendas: Total;2007M10;58.518
Total Nacional;;;Viviendas: Total;2007M11;56.188
Total Nacional;;;Viviendas: Total;2007M12;43.660
Total Nacional;;;Viviendas: Total;2008M01;61.825
Total Nacional;;;Viviendas: Total;2008M02;54.783
Total Nacional;;;Viviendas: Total;2008M03;45.659
Total Nacional;;;Viviendas: Total;2008M04;54.801
Total Nacional;;;Viviendas: Total;2008M05;49.647
Total Nacional;;;Viviendas: Total;2008M06;46.533
Total Nacional;;;Viviendas: Total;2008M07;45.500
Total Nacional;;;Viviendas: Total;2008M08;37.820
Total Nacional;;;Viviendas: Total;2008M09;45.453
Total Nacional;;;Viviendas: Total;2008M10;42.029
Total Nacional;;;Viviendas: Total;2008M11;35.774
Total Nacional;;;Viviendas: Total;2008M12;32.256
Total Nacional;;;Viviendas: Total;2009M01;37.475
Total Nacional;;;Viviendas: Total;2009M02;34.578
Total Nacional;;;Viviendas: Total;2009M03;34.470
Total Nacional;;;Viviendas: Total;2009M04;29.178
Total Nacional;;;Viviendas: Total;2009M05;33.756
Total Nacional;;;Viviendas: Total;2009M06;34.854
Total Nacional;;;Viviendas: Total;2009M07;37.669
Total Nacional;;;Viviendas: Total;2009M08;33.811
Total Nacional;;;Viviendas: Total;2009M09;37.604
Total Nacional;;;Viviendas: Total;2009M10;33.062
Total Nacional;;;Viviendas: Total;2009M11;34.927
Total Nacional;;;Viviendas: Total;2009M12;32.009
Total Nacional;;;Viviendas: Total;2010M01;37.650
Total Nacional;;;Viviendas: Total;2010M02;41.267
Total Nacional;;;Viviendas: Total;2010M03;37.566
Total Nacional;;;Viviendas: Total;2010M04;34.294
Total Nacional;;;Viviendas: Total;2010M05;37.711
Total Nacional;;;Viviendas: Total;2010M06;37.134
Total Nacional;;;Viviendas: Total;2010M07;43.561
Total Nacional;;;Viviendas: Total;2010M08;43.610
Total Nacional;;;Viviendas: Total;2010M09;36.070
Total Nacional;;;Viviendas: Total;2010M10;27.415
Total Nacional;;;Viviendas: Total;2010M11;32.193
Total Nacional;;;Viviendas: Total;2010M12;31.120
Total Nacional;;;Viviendas: Total;2011M01;44.874
Total Nacional;;;Viviendas: Total;2011M02;45.107
Total Nacional;;;Viviendas: Total;2011M03;32.952
Total Nacional;;;Viviendas: Total;2011M04;23.906
Total Nacional;;;Viviendas: Total;2011M05;30.855
Total Nacional;;;Viviendas: Total;2011M06;28.679
Total Nacional;;;Viviendas: Total;2011M07;28.097
Total Nacional;;;Viviendas: Total;2011M08;26.888
Total Nacional;;;Viviendas: Total;2011M09;25.751
Total Nacional;;;Viviendas: Total;2011M10;22.392
Total Nacional;;;Viviendas: Total;2011M11;27.323
Total Nacional;;;Viviendas: Total;2011M12;23.000
Total Nacional;;;Viviendas: Total;2012M01;33.364
Total Nacional;;;Viviendas: Total;2012M02;30.253
Total Nacional;;;Viviendas: Total;2012M03;25.267
Total Nacional;;;Viviendas: Total;2012M04;21.276
Total Nacional;;;Viviendas: Total;2012M05;27.219
Total Nacional;;;Viviendas: Total;2012M06;25.362
Total Nacional;;;Viviendas: Total;2012M07;27.072
Total Nacional;;;Viviendas: Total;2012M08;27.838
Total Nacional;;;Viviendas: Total;2012M09;26.054
Total Nacional;;;Viviendas: Total;2012M10;25.300
Total Nacional;;;Viviendas: Total;2012M11;25.968
Total Nacional;;;Viviendas: Total;2012M12;23.561
Total Nacional;;;Viviendas: Total;2013M01;39.920
Total Nacional;;;Viviendas: Total;2013M02;35.535
Total Nacional;;;Viviendas: Total;2013M03;22.018
Total Nacional;;;Viviendas: Total;2013M04;23.704
Total Nacional;;;Viviendas: Total;2013M05;26.692
Total Nacional;;;Viviendas: Total;2013M06;23.977
Total Nacional;;;Viviendas: Total;2013M07;25.819
Total Nacional;;;Viviendas: Total;2013M08;23.787
Total Nacional;;;Viviendas: Total;2013M09;23.767
Total Nacional;;;Viviendas: Total;2013M10;22.812
Total Nacional;;;Viviendas: Total;2013M11;22.099
Total Nacional;;;Viviendas: Total;2013M12;22.463
Total Nacional;;;Viviendas: Total;2014M01;30.493
Total Nacional;;;Viviendas: Total;2014M02;25.720
Total Nacional;;;Viviendas: Total;2014M03;26.727
Total Nacional;;;Viviendas: Total;2014M04;24.891
Total Nacional;;;Viviendas: Total;2014M05;27.791
Total Nacional;;;Viviendas: Total;2014M06;26.132
Total Nacional;;;Viviendas: Total;2014M07;28.731
Total Nacional;;;Viviendas: Total;2014M08;23.645
Total Nacional;;;Viviendas: Total;2014M09;26.980
Total Nacional;;;Viviendas: Total;2014M10;26.583
Total Nacional;;;Viviendas: Total;2014M11;25.268
Total Nacional;;;Viviendas: Total;2014M12;25.869
Total Nacional;;;Viviendas: Total;2015M01;33.379
Total Nacional;;;Viviendas: Total;2015M02;30.032
Total Nacional;;;Viviendas: Total;2015M03;27.337
Total Nacional;;;Viviendas: Total;2015M04;27.284
Total Nacional;;;Viviendas: Total;2015M05;29.467
Total Nacional;;;Viviendas: Total;2015M06;30.861
Total Nacional;;;Viviendas: Total;2015M07;32.736
Total Nacional;;;Viviendas: Total;2015M08;29.512
Total Nacional;;;Viviendas: Total;2015M09;30.867
Total Nacional;;;Viviendas: Total;2015M10;27.564
Total Nacional;;;Viviendas: Total;2015M11;28.808
Total Nacional;;;Viviendas: Total;2015M12;27.709
Total Nacional;;;Viviendas: Total;2016M01;32.569
Total Nacional;;;Viviendas: Total;2016M02;35.174
Total Nacional;;;Viviendas: Total;2016M03;31.877
Total Nacional;;;Viviendas: Total;2016M04;35.256
Total Nacional;;;Viviendas: Total;2016M05;36.406
Total Nacional;;;Viviendas: Total;2016M06;37.000
Total Nacional;;;Viviendas: Total;2016M07;33.257
Total Nacional;;;Viviendas: Total;2016M08;35.586
Total Nacional;;;Viviendas: Total;2016M09;34.797
Total Nacional;;;Viviendas: Total;2016M10;29.608
Total Nacional;;;Viviendas: Total;2016M11;34.347
Total Nacional;;;Viviendas: Total;2016M12;29.508
Total Nacional;;;Viviendas: Total;2017M01;38.410
Total Nacional;;;Viviendas: Total;2017M02;35.699
Total Nacional;;;Viviendas: Total;2017M03;40.856
Total Nacional;;;Viviendas: Total;2017M04;32.393
Total Nacional;;;Viviendas: Total;2017M05;45.080
Total Nacional;;;Viviendas: Total;2017M06;43.922
Total Nacional;;;Viviendas: Total;2017M07;39.500
Total Nacional;;;Viviendas: Total;2017M08;41.577
Total Nacional;;;Viviendas: Total;2017M09;38.992
Total Nacional;;;Viviendas: Total;2017M10;37.594
Total Nacional;;;Viviendas: Total;2017M11;41.016
Total Nacional;;;Viviendas: Total;2017M12;32.605
Total Nacional;;;Viviendas: Total;2018M01;47.735
Total Nacional;;;Viviendas: Total;2018M02;41.497
Total Nacional;;;Viviendas: Total;2018M03;39.932
Total Nacional;;;Viviendas: Total;2018M04;42.363
Total Nacional;;;Viviendas: Total;2018M05;47.052
Total Nacional;;;Viviendas: Total;2018M06;44.990
Total Nacional;;;Viviendas: Total;2018M07;46.148
Total Nacional;;;Viviendas: Total;2018M08;44.834
Total Nacional;;;Viviendas: Total;2018M09;43.174
Total Nacional;;;Viviendas: Total;2018M10;43.482
Total Nacional;;;Viviendas: Total;2018M11;42.623
Total Nacional;;;Viviendas: Total;2018M12;34.154
Total Nacional;;;Viviendas: Total;2019M01;48.202
Total Nacional;;;Viviendas: Total;2019M02;44.064
Total Nacional;;;Viviendas: Total;2019M03;42.765
Total Nacional;;;Viviendas: Total;2019M04;41.199
Total Nacional;;;Viviendas: Total;2019M05;48.351
Total Nacional;;;Viviendas: Total;2019M06;41.437
Total Nacional;;;Viviendas: Total;2019M07;48.337
Total Nacional;;;Viviendas: Total;2019M08;35.723
Total Nacional;;;Viviendas: Total;2019M09;38.279
Total Nacional;;;Viviendas: Total;2019M10;43.356
Total Nacional;;;Viviendas: Total;2019M11;38.919
Total Nacional;;;Viviendas: Total;2019M12;34.835
Total Nacional;;;Viviendas: Total;2020M01;47.017
Total Nacional;;;Viviendas: Total;2020M02;45.102
Total Nacional;;;Viviendas: Total;2020M03;35.745
Total Nacional;;;Viviendas: Total;2020M04;25.439
Total Nacional;;;Viviendas: Total;2020M05;22.652
Total Nacional;;;Viviendas: Total;2020M06;27.788
Total Nacional;;;Viviendas: Total;2020M07;32.751
Total Nacional;;;Viviendas: Total;2020M08;31.592
Total Nacional;;;Viviendas: Total;2020M09;37.982
Total Nacional;;;Viviendas: Total;2020M10;37.832
Total Nacional;;;Viviendas: Total;2020M11;40.119
Total Nacional;;;Viviendas: Total;2020M12;36.219
Total Nacional;;;Viviendas: Total;2021M01;40.213
Total Nacional;;;Viviendas: Total;2021M02;43.251
Total Nacional;;;Viviendas: Total;2021M03;47.188
Total Nacional;;;Viviendas: Total;2021M04;42.328
Total Nacional;;;Viviendas: Total;2021M05;47.036
Total Nacional;;;Viviendas: Total;2021M06;48.815
Total Nacional;;;Viviendas: Total;2021M07;49.732
Total Nacional;;;Viviendas: Total;2021M08;49.899
Total Nacional;;;Viviendas: Total;2021M09;53.619
Total Nacional;;;Viviendas: Total;2021M10;46.346
Total Nacional;;;Viviendas: Total;2021M11;49.779
Total Nacional;;;Viviendas: Total;2021M12;48.279
Total Nacional;;;Viviendas: Total;2022M01;52.902
Total Nacional;;;Viviendas: Total;2022M02;53.739
Total Nacional;;;Viviendas: Total;2022M03;59.158
