Tipo de jornada;Sexo;Intervalos de salario;Periodo;Total
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2023;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2022;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2021;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2020;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2019;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2018;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2017;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2016;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2015;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2014;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2013;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2012;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2011;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2010;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2009;100,00
Jornada a tiempo completo;Ambos sexos;Total de trabajadores;2008;100,00
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2023;4,77
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2022;3,35
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2021;4,15
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2020;5,57
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2019;3,19
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2018;0,82
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2017;1,27
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2016;1,50
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2015;0,91
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2014;0,23
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2013;1,70
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2012;1,52
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2011;1,38
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2010;0,30
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2009;1,34
Jornada a tiempo completo;Ambos sexos;De 0 a 1 SMI;2008;1,35
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2023;54,08
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2022;53,16
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2021;51,69
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2020;52,27
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2019;51,85
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2018;38,76
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2017;36,56
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2016;31,12
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2015;29,96
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2014;30,25
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2013;31,68
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2012;31,79
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2011;31,95
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2010;32,69
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2009;33,48
Jornada a tiempo completo;Ambos sexos;De 1 a 2 SMI;2008;33,49
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2023;24,21
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2022;24,74
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2021;25,16
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2020;24,08
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2019;25,21
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2018;30,16
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2017;30,84
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2016;31,99
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2015;32,62
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2014;33,07
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2013;31,72
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2012;32,25
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2011;32,04
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2010;32,42
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2009;31,64
Jornada a tiempo completo;Ambos sexos;De 2 a 3 SMI;2008;32,16
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2023;9,88
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2022;10,51
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2021;10,97
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2020;10,44
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2019;11,38
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2018;15,20
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2017;15,58
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2016;16,66
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2015;17,09
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2014;17,26
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2013;16,23
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2012;16,30
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2011;16,46
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2010;16,14
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2009;15,38
Jornada a tiempo completo;Ambos sexos;De 3 a 4 SMI;2008;15,36
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2023;3,81
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2022;4,34
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2021;4,13
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2020;4,05
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2019;4,28
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2018;7,17
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2017;7,89
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2016;9,20
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2015;9,76
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2014;9,22
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2013;9,01
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2012;8,49
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2011;9,11
Jornada a tiempo completo;Ambos sexos;De 4 a 5 SMI;2010;8,77
