fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2000-01-01,3195,"MADRID, RETIRO",MADRID,667,5.4,"0,0",0.3,Varias,10.4,13:00,04,0.6,4.7,23:00,8.4,949.5,11,947.4,15,80,,,,
2000-01-02,3195,"MADRID, RETIRO",MADRID,667,5,"0,0",0.3,Varias,9.6,13:50,03,0.3,4.4,23:50,8.5,948.6,00,947.4,18,73,,,,
2000-01-03,3195,"MADRID, RETIRO",MADRID,667,3.5,"0,0",0.1,06:50,6.9,13:30,04,0.6,5,23:10,8.2,951.1,09,947.9,00,76,,,,
2000-01-04,3195,"MADRID, RETIRO",MADRID,667,4.3,"0,0",1.4,23:55,7.2,14:30,11,1.1,3.9,11:30,4.7,951.1,10,949,16,77,,,,
2000-01-05,3195,"MADRID, RETIRO",MADRID,667,0.6,"0,0",-0.4,23:58,1.6,00:15,05,0.8,4.4,22:40,0,949.1,00,944.5,18,93,,,,
2000-01-06,3195,"MADRID, RETIRO",MADRID,667,3.8,"0,0",-1.1,03:20,8.8,14:10,05,0.8,5,03:30,7.5,948.2,24,944.6,03,78,,,,
2000-01-07,3195,"MADRID, RETIRO",MADRID,667,6.2,"0,0",0.6,Varias,11.7,14:15,02,0.8,3.9,05:20,8.2,948.3,07,946.3,24,73,,,,
2000-01-08,3195,"MADRID, RETIRO",MADRID,667,5.4,"0,1",-0.1,07:10,11,14:40,02,0.8,3.9,00:40,6.8,947,10,944.5,16,79,,,,
2000-01-09,3195,"MADRID, RETIRO",MADRID,667,5.5,"0,9",3,Varias,8,13:10,05,2.5,8.3,21:40,0.1,947.7,23,944.5,06,79,,,,
2000-01-10,3195,"MADRID, RETIRO",MADRID,667,4.8,"0,2",1.8,05:40,7.8,16:30,04,3.3,12.2,11:00,7.9,950.9,24,946.9,02,62,,,,
2000-01-11,3195,"MADRID, RETIRO",MADRID,667,5.2,"0,0",1.5,06:10,9,Varias,03,2.5,8.3,10:50,6.9,953.3,11,949.4,02,63,,,,
2000-01-12,3195,"MADRID, RETIRO",MADRID,667,4,"0,0",-0.4,08:00,8.3,15:30,25,1.7,5.3,15:30,8.5,952.6,00,946.5,24,77,,,,
2000-01-13,3195,"MADRID, RETIRO",MADRID,667,2.8,"12,7",-1,06:40,6.6,Varias,17,0.8,6.9,23:59,3,946.5,00,934.5,24,83,,,,
2000-01-14,3195,"MADRID, RETIRO",MADRID,667,3.2,"6,7",1.8,06:45,4.6,12:30,12,0.6,8.9,04:40,0,934.5,00,929,15,94,,,,
2000-01-15,3195,"MADRID, RETIRO",MADRID,667,4.3,"0,0",1.1,06:05,7.5,14:50,03,3.1,10,18:10,6,943.4,24,933.1,00,78,,,,
2000-01-16,3195,"MADRID, RETIRO",MADRID,667,5.2,"0,0",1.8,02:40,8.6,14:10,05,2.8,8.9,08:00,5.7,948.2,24,943.4,00,77,,,,
