ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
FIN;87,18;5;89,93;7;80,54;4;87,93;7;83,87;12;93,65;14;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;??????;??????;2025;5;0;86,55;0,63
EST;89,46;2;90,87;4;79,4;5;90;3;91,61;1;95,41;5;UE Balkans;Estonie;Estonia;Estonia;Estônia ;???????;??????;2025;6;4;86,44;3,02
NLD;88,64;3;89,95;6;83,85;2;89,69;4;88,05;3;91,64;27;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;??????;????;2025;4;1;87,73;0,91
SWE;88,13;4;90,07;5;82,71;3;90,02;2;84,99;9;92,86;18;UE Balkans;Suède;Sweden;Suecia;Suécia ;??????;????;2025;3;-1;88,32;-0,19
LTU;82,27;14;80,76;17;68,84;15;83,23;18;85,39;8;93,12;16;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;????????;???????;2025;13;-1;81,73;0,54
DNK;86,93;6;91,13;3;78,46;7;86,78;8;83,85;13;94,43;8;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;????????;???????;2025;2;-4;89,6;-2,67
IRL;86,92;7;91,3;2;78,77;6;81,49;24;87,25;5;95,8;4;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;???????;??????;2025;8;1;85,59;1,33
PRT;84,26;8;88,77;8;65,83;20;86,16;9;86,74;6;93,81;13;UE Balkans;Portugal;Portugal;Portugal;Portugal ;????????;??????;2025;7;-1;85,9;-1,64
CHE;83,98;9;85,7;9;73,21;9;83,73;15;83,4;15;93,86;12;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;??????;?????;2025;9;0;84,01;-0,03
CZE;83,96;10;84,64;11;65,41;22;88,22;6;87,66;4;93,87;11;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;??????; ??;2025;17;7;80,14;3,82
NOR;92,31;1;96,22;1;87,32;1;91,96;1;90,03;2;96,03;2;UE Balkans;Norvège;Norway;Noruega;Noruega ;???????;????;2025;1;0;91,89;0,42
LIE;83,42;12;80,23;18;67,33;18;89,16;5;84,51;10;95,87;3;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;??????????;????????????;2025;15;3;81,52;1,9
LUX;83,04;13;83,34;12;67,99;17;80,87;28;86,36;7;96,62;1;UE Balkans;Luxembourg;Luxembourg;Luxemburgo;Luxemburgo ;?????????;??????????;2025;11;-2;83,8;-0,76
DEU;83,85;11;84,87;10;77,9;8;84,72;11;80,93;23;90,82;35;UE Balkans;Allemagne;Germany;Alemania;Alemanha ;???????;?????;2025;10;-1;83,84;0,01
LVA;81,82;15;83,07;13;70,35;11;81,7;23;81,95;17;92,05;25;UE Balkans;Lettonie;Latvia;Letonia;Letônia ;??????;??????;2025;12;-3;82,9;-1,08
NZL;81,37;16;78,27;20;72,15;10;80,76;29;83,53;14;92,15;23;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;??????????;????? ??;2025;19;3;79,72;1,65
ISL;81,36;17;82,24;15;65,71;21;81,12;25;82,93;16;94,82;7;UE Balkans;Islande;Iceland;Islandia;Islândia ;???????;??????;2025;18;1;80,13;1,23
BEL;80,12;18;79,16;19;69,15;14;79,9;31;81,8;18;90,58;37;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;??????;?????;2025;16;-2;81,49;-1,37
TTO;79,71;19;71,48;28;69,97;12;78,64;32;84,12;11;94,34;9;Amériques;Trinité-et-Tobago;Trinidad and Tobago;Trinidad y Tobago;Trinidad e Tobago ;???????? ???????;????? ? ??????;2025;25;6;76,69;3,02
GBR;78,89;20;81,54;16;68,43;16;75,6;40;78,46;31;90,42;39;UE Balkans;Royaume-Uni;United Kingdom;Reino Unido;Reino Unido;??????? ???????;????????;2025;23;3;77,51;1,38
